Name,Gender,Age,Income,Expenses,Savings,FinancialGoal,RiskAppetite,ESGScore,SustainableInvestments,EducationLevel,EmploymentStatus,InvestmentHorizon,EthicalConsiderations
Terry Higgins,Male,23,74540.47831726586,43858.72460563105,38979.846734384744,109878.69493204128,0.7789752789596681,43.235841941751,Yes,College,Unemployed,Short Term,Governance
Rebecca Clark,Male,60,109410.5528731381,12316.237760925218,29597.68115155586,62761.84812023531,0.32613222470717174,80.635319591835,Yes,Graduate,Employed,Long Term,Governance
Molly Carlson,Female,31,88883.40332006554,13448.511935659573,32152.41397798887,125273.46734086919,0.09806413380144796,31.010130721132654,No,College,Employed,Long Term,Social Responsibility
Lindsey Wilson,Male,59,72352.81680313761,27379.343544240764,39926.603530504945,166073.7704834385,0.7377478660091419,68.49619418644428,No,Graduate,Self-Employed,Long Term,Social Responsibility
Anthony House,Male,58,78302.16743600342,28134.873691885707,48393.04204067138,69556.27623427613,0.8698863029476689,13.128666847232173,No,College,Employed,Short Term,Social Responsibility
John Chan,Male,56,106245.5128854121,34353.29617709774,18237.997481202117,70230.61455889324,0.375532387877741,66.55202962168417,No,College,Employed,Medium Term,Environmental Impact
Madison Mccarty,Male,19,68783.49924127865,22371.602554941048,12984.165431971844,133894.42659703107,0.22066275830216486,83.20528743226589,No,Graduate,Employed,Short Term,Social Responsibility
Deborah Marshall,Male,21,109421.01578267336,39667.74036230217,35719.648326569084,123179.16497064992,0.4709902598343212,51.265322565936486,Yes,College,Self-Employed,Medium Term,Governance
Gregory Myers,Female,39,95475.72570234527,39626.327209367126,13413.946168954564,147837.26584687532,0.4844077159042608,48.96230358290852,No,High School,Employed,Long Term,Governance
Michelle Mckenzie,Male,33,98747.10877457906,14777.720276315498,12820.780933488732,79414.89505898312,0.890488843887039,88.54130386418814,Yes,High School,Employed,Long Term,Environmental Impact
Jenny Bowers,Male,26,62934.36172658067,38316.02428472393,28123.108374855823,142399.52563913027,0.14494127196196582,47.64396866297677,Yes,High School,Employed,Long Term,Environmental Impact
Andrew Lee,Male,54,66052.34589132809,38059.98444895464,21973.920217369054,160350.1631217984,0.9278871164428707,56.305707693353845,No,High School,Unemployed,Short Term,Governance
Javier Burns,Male,31,81325.34794929263,16553.3052374163,24282.851648033044,86936.87607606695,0.45499087257728543,42.3070580439436,No,Graduate,Unemployed,Long Term,Governance
Shannon Wang,Male,22,47518.977169894715,48120.648070187905,30046.937926789982,60746.59705116273,0.38733030388865675,75.64906434903766,No,High School,Employed,Medium Term,Social Responsibility
Rebecca Ward DVM,Male,53,79790.06339590365,30920.21450913633,10852.993855191753,166515.78481875255,0.13640461458072206,81.09943596142234,Yes,Graduate,Self-Employed,Short Term,Environmental Impact
Troy Petty,Male,31,36617.85747685577,41319.484061749834,31279.372595776902,98511.74617343169,0.7198212161224702,61.386778344479076,Yes,Graduate,Self-Employed,Medium Term,Social Responsibility
Michele Gill,Female,55,75382.99762108843,38830.620723738364,16475.72666595899,188620.71213426243,0.6320211169018609,43.41059225103725,No,High School,Self-Employed,Long Term,Social Responsibility
Amber Mitchell,Male,31,98796.37032365156,16678.518167695234,19875.32549340211,63439.19721901028,0.9755558913178334,42.60170988213081,Yes,Graduate,Employed,Short Term,Environmental Impact
Peter Long,Female,32,55174.86098615838,15077.224299244994,36936.01833423413,150762.1330174603,0.2022108907691489,4.043808961914075,Yes,College,Employed,Short Term,Environmental Impact
Katherine Cox,Female,39,119018.16305586504,41244.959197479504,11966.25640092288,113531.090354846,0.1272117646939649,34.1744847396551,Yes,Graduate,Self-Employed,Short Term,Social Responsibility
Stephanie Williamson,Male,27,91235.87761069747,20750.57945636983,11916.652260633338,102246.17852697865,0.6922105295111673,46.35248756143453,No,Graduate,Unemployed,Medium Term,Environmental Impact
Megan Zavala,Male,56,40692.99177512306,45456.59038962624,19518.3513452084,98110.75442790042,0.059651719634265854,22.423021232791697,No,Graduate,Unemployed,Long Term,Environmental Impact
Sarah Thompson,Female,18,117757.45338724056,40857.21161958498,7288.494853785205,139081.57235616056,0.13650149934820277,68.62365358593723,Yes,Graduate,Unemployed,Short Term,Social Responsibility
Alan Dunn,Female,35,65451.33414557464,11174.25004691214,46957.18395070359,53631.024550290356,0.8516513665432802,15.506970085701056,Yes,College,Self-Employed,Long Term,Governance
Dennis Ramirez MD,Female,27,101540.75055428511,42284.31386629479,32702.39042446985,95722.82713195897,0.45857892497050634,49.532225375830166,No,College,Self-Employed,Medium Term,Environmental Impact
Jon Martinez,Male,26,60517.67699573088,20879.22380085415,34785.05949342226,198147.7875445594,0.17120131671681682,62.95595813335879,No,High School,Unemployed,Medium Term,Environmental Impact
Dana Sharp,Male,52,114505.37102598378,12554.879564925923,27074.792351915446,142433.14916817553,0.34357600822935663,52.46777838764347,Yes,College,Self-Employed,Medium Term,Governance
Lisa Marquez,Female,34,97946.86550635146,38492.92992801982,30770.46457497185,198523.87734069975,0.8864089719590657,29.070302447839946,No,Graduate,Self-Employed,Medium Term,Environmental Impact
Jessica Pineda,Male,29,47915.209339720495,33066.066988567356,21113.851467368273,116331.51578513773,0.6036359828471252,43.73555189310247,Yes,College,Unemployed,Short Term,Governance
Crystal Andrews,Male,25,75821.02646026638,13082.801251455414,40281.415185672566,71872.77127854164,0.7895469650221273,90.72077110524825,Yes,Graduate,Self-Employed,Short Term,Social Responsibility
Jeremiah Boone,Female,60,75007.01132135795,28207.9111071771,19303.655241748525,56731.63263970599,0.6379992138800035,47.76113651722167,No,High School,Employed,Short Term,Social Responsibility
Trevor Taylor,Male,19,34077.301722036726,24404.95582087013,14898.290694240084,172725.78801977215,0.6115280904291428,14.860653865476126,No,High School,Self-Employed,Short Term,Environmental Impact
Rachel Wade,Female,26,42333.273621076834,29984.40023045533,13274.109389091152,79952.78204086336,0.16993548406751036,12.7789748343184,No,High School,Employed,Short Term,Environmental Impact
Kenneth Meyers,Female,18,59973.66348174905,32675.445129537995,8067.941109699164,106073.1185480854,0.9701358419117005,90.29036186665941,Yes,High School,Employed,Long Term,Governance
Samantha Moore,Female,40,72636.9735355671,24707.51111427247,27731.315770534216,163660.06738895932,0.8550040217466823,84.15379542757087,No,Graduate,Unemployed,Long Term,Social Responsibility
Nathaniel Miller,Male,33,71128.97033545867,20204.643241563124,23716.905969668976,177914.62177688006,0.0864743323005448,52.30920570174739,Yes,High School,Unemployed,Medium Term,Governance
Mitchell Wright,Female,55,84563.44701634237,14116.196600874784,29166.61786402589,66855.76111776564,0.8569737637174784,29.548163390558724,Yes,College,Self-Employed,Long Term,Environmental Impact
Desiree Johnson,Male,38,76395.51589325286,32956.492207682255,9137.549927257991,58180.702004263134,0.48921339856236457,4.772827439750971,No,High School,Self-Employed,Long Term,Environmental Impact
Jacob Parsons,Female,19,59516.926287287366,38911.13493303466,14953.913649565375,192341.13725386834,0.9956643373999193,7.653251973764608,Yes,Graduate,Employed,Long Term,Social Responsibility
Jordan Rodriguez,Male,29,85176.13089582103,19136.176926130043,14600.921458378816,189009.45426636605,0.5915808712951018,4.50949036584386,Yes,High School,Unemployed,Short Term,Governance
Lance Watts,Female,34,44625.18412892455,30352.99539642587,19934.758170679168,180312.85274674528,0.836989026239238,10.763217144199889,No,College,Unemployed,Long Term,Governance
Ronald Stout,Female,21,119155.4163805026,11761.516290512382,21235.90210982297,173020.09346449943,0.27917087833958754,42.49135212080136,No,High School,Self-Employed,Medium Term,Environmental Impact
Randy Powell,Male,26,96538.74245162438,44517.13979610445,14830.037860303162,52059.99390401471,0.7300177546449778,9.44843624879158,No,College,Employed,Short Term,Social Responsibility
Mr. Tyler Santiago,Male,65,56931.09082754864,19782.058014268136,38869.50602995326,154069.28375841765,0.7361788591191059,66.08552539371698,No,High School,Employed,Medium Term,Governance
